equip_id	 utility	 size	 pos_x 	 pos_y	 pos_z
EAP3524	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 78862.37	 37138.0
EAP3524	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 78370.42	 41325.0
EAP3524	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 79850.43	 50003.7
EAP3524	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 79720.43	 50003.7
EAP3524	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 79850.43	 50003.7
EAP3524	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 78650.43	 50003.7
EAP3524	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 78780.43	 50003.7
EAP3524	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 78635.43	 50003.7
EAP3524	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 77950.42	 41325.0
EAP3524	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 197412.69 	 79134.76	 52788.07
EAP3524	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195464.3 	 79264.52	 52511.94
EAP3524	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 196975.38 	 80128.68	 52788.07
EAP3524	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195896.17 	 80246.92	 52788.07
EAP3518	 산배기(ACID)	 [기본 사이즈] 25 mm	 186110.42 	 57101.0	 41325.0
EAP3518	 산배기(ACID)	 [기본 사이즈] 40 mm	 183872.56 	 57934.3	 50013.1
EAP3518	 산배기(ACID)	 [기본 사이즈] 25 mm	 186530.42 	 57101.0	 41325.0
EAP3518	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184704.04 	 59607.83	 52788.07
EAP3518	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 186222.7 	 58496.72	 52788.07
EAP3518	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184275.97 	 58630.05	 52580.83
EAP3518	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 185783.41 	 59489.83	 52788.07
ELE3509	 산배기(ACID)	 [기본 사이즈] 25 mm	 183730.42 	 61261.34	 50141.5
ELE3509	 산배기(ACID)	 [기본 사이즈] 25 mm	 183730.42 	 61261.34	 50441.5
ELE3509	 산배기(ACID)	 [기본 사이즈] 150 mm	 183634.64 	 63098.37	 49740.0
ELE3509	 산배기(ACID)	 [기본 사이즈] 150 mm	 183634.64 	 62048.53	 49740.0
