PUMP	125 mm	EQP	EAP4232		 131199.594 mm	 80394.008 mm	 2300 mm	A
PUMP	125 mm	EQP	EAP4232		 131199.594 mm	 79694.008 mm	 2300 mm	B
PUMP	125 mm	EQP	EAP4232		 130449.648 mm	 79188.781 mm	 2300 mm	B
PUMP	125 mm	EQP	EAP4232		 129749.648 mm	 79188.781 mm	 2300 mm	A
PUMP	125 mm	EQP	EAP4232		 129749.773 mm	 80899.766 mm	 2300 mm	C
PUMP	125 mm	EQP	EAP4232		 130449.766 mm	 80899.766 mm	 2300 mm	C
PUMP	125 mm	EMP	EHP4207		 124955.008 mm	 63584 mm	 2300 mm	
PUMP	125 mm	EMP	EHP4207		 124955.008 mm	 64084 mm	 2300 mm	
PUMP	125 mm	EMP	EHP4207		 124955.008 mm	 66519.008 mm	 2300 mm	
PUMP	125 mm	EMP	EHP4207		 124955.008 mm	 66019.008 mm	 2300 mm	
